,0
O75326_P02748,1
O75326_P02679,1
O75326_P02671,1
O75326_P02647,1
P36955_P36980,1
P02671_P08133,1
P05060_P07333,1
P36955_P61626,1
O75144_P01023,1
P04406_Q562R1,1
P02675_P35542,1
P43652_Q99829,1
P43251_P98160,1
P04275_P20933,1
P43251_Q14118,1
P04275_P19827,1
P02679_Q562R1,1
P04275_P13591,1
P04275_P10451,1
P43251_Q9HDC9,1
P43652_P98160,1
P43652_Q562R1,1
P02747_P05067,1
P04217_Q96PD5,1
O43505_P16152,1
O43505_P16035,1
P04217_Q92823,1
P02675_P36955,1
P02747_P07333,1
P49588_Q02818,1
P02747_P10909,1
P02747_P12109,1
P04217_Q06481,1
P02747_P13671,1
P02747_P16070,1
P04217_P55290,1
P04217_P49588,1
P49588_Q8NBJ4,1
P49588_Q96KN2,1
P04217_P16152,1
O43505_P02649,1
P49908_Q13332,1
P04275_P43251,1
O60888_P01608,1
P43121_Q9UKV8,1
O60888_P01780,1
O60888_Q9UBX5,1
P40925_Q15904,1
O60888_Q99969,1
O60888_Q92823,1
P04406_P31997,1
P02675_Q14624,1
O60888_Q12841,1
P02675_Q8NE71,1
P04406_P16870,1
P02675_Q99829,1
O60888_P43121,1
P02675_Q9Y6R7,1
O60888_P23142,1
P41222_Q16270,1
P04406_P08637,1
P04406_P08294,1
P41222_Q9BY67,1
O60888_P08123,1
P04275_Q9UNU6,1
O60888_P06681,1
O60888_P05546,1
O60888_P05060,1
P02679_P10643,1
O60888_P04156,1
O60888_P04075,1
P43121_Q16610,1
O60888_P02774,1
P43121_Q96S96,1
O60888_P02652,1
P00736_Q8IWV7,1
P00738_P20933,1
P02452_P07602,1
P11142_Q9HDC9,1
P07998_P10643,1
P01717_P35542,1
P01023_P19021,1
P01717_P30086,1
P01717_P20774,1
P11142_Q9NQ79,1
P11142_Q99683,1
P07998_P08294,1
P01023_P43121,1
P07998_P19823,1
P01023_P98160,1
P07998_P35542,1
P07998_P36980,1
P01717_P08697,1
P11277_P16152,1
P11277_P24592,1
P01023_Q6UX71,1
P07858_Q14118,1
P07858_P54289,1
P07858_Q12805,1
P01717_Q9UBX5,1
P11277_Q8IWV7,1
P01717_Q9NQ79,1
P01023_P02790,1
P07858_Q15904,1
P01023_P08603,1
P01717_Q7Z3B1,1
P01717_Q6UXB8,1
P07858_Q96KN2,1
P11277_P55290,1
P01023_P07711,1
P11277_P36222,1
P01023_Q14508,1
P01023_Q96PD5,1
P01780_P02790,1
P08123_Q9UNU6,1
P08123_Q14508,1
P01621_P17936,1
P01621_P16152,1
P01621_P08493,1
P10645_Q6UXB8,1
P01024_Q8IWV7,1
P10645_Q12907,1
P08123_Q13283,1
P01024_Q9NYU2,1
P08133_P13671,1
P01031_P01042,1
P10645_P40925,1
P10645_P39060,1
P08133_P19021,1
P01621_P31997,1
P01024_P19827,1
P01023_Q99674,1
P11142_P12109,1
P07998_Q13332,1
P11142_P43121,1
P07998_Q16270,1
P01717_P04207,1
P01717_P02675,1
P01717_P02655,1
P01621_Q9Y6R7,1
P10909_P20933,1
P10909_Q8NE71,1
P01024_P05156,1
P08123_P13591,1
P08123_P23142,1
P08123_P24592,1
P10909_P36222,1
P07858_P30086,1
P01019_Q9UHG2,1
P05546_P17174,1
P01833_P32754,1
P01833_Q8NE71,1
P01833_Q13451,1
P01011_P07998,1
P01011_P08697,1
P01833_P51884,1
P01833_P36955,1
P01011_P19021,1
P01011_P04196,1
P07602_P31997,1
P01833_P17174,1
P07602_Q14118,1
P01833_P05546,1
P07602_Q7Z3B1,1
P01833_P05060,1
P01833_Q96KN2,1
P07339_Q8NE71,1
P01011_Q96KN2,1
P13611_P16035,1
P01834_P10451,1
P07339_P16035,1
P07339_P17174,1
P01834_P07998,1
P01834_P07711,1
P13611_P16152,1
P07339_P35542,1
P07339_Q8IWV7,1
P01009_Q9BY67,1
P01834_P04196,1
P01009_Q9Y646,1
P01834_P02760,1
P07339_Q13451,1
P01011_P02679,1
P01011_Q92876,1
P07602_Q99832,1
P12109_P35542,1
P01780_P10451,1
P01019_P13611,1
P12109_Q9Y646,1
P01019_P14618,1
P01780_P17936,1
P12109_Q14624,1
P07711_Q9UBX5,1
P01019_P61769,1
P13473_P14314,1
P07711_Q9Y6R7,1
P12109_Q08380,1
P12109_P61626,1
P07858_P13473,1
P01019_Q8NBJ4,1
P12109_P36222,1
P01780_P40925,1
P07711_P80748,1
P01833_P02748,1
P13473_P61916,1
P01833_P02679,1
P07711_P08697,1
P13473_Q8N2S1,1
P07711_P11142,1
P01780_Q9BY67,1
P13473_P80748,1
P07711_P20933,1
P01019_P08294,1
P01780_Q6UXB8,1
P01780_Q16610,1
P01780_Q13283,1
P07711_P49588,1
P01019_P07711,1
P13473_P20774,1
P01031_P01876,1
P01031_P02753,1
P01621_P02652,1
P09104_P80748,1
P08571_P09871,1
P08571_P10451,1
P01591_P43652,1
P01591_P36955,1
P01034_Q7Z3B1,1
P09104_Q13283,1
P01591_P16870,1
P08493_Q8NE71,1
P09104_P60174,1
P09104_P35542,1
P01042_P01833,1
P09104_P23142,1
P01591_P08133,1
P08571_Q7Z5P9,1
P01034_P61769,1
P08493_Q8NBJ4,1
P08697_Q9UKV8,1
P09486_Q14624,1
P09486_Q99832,1
P08493_P13521,1
P01594_P04217,1
P08493_P17174,1
P09486_Q7Z5P9,1
P09486_Q16270,1
P01594_P02753,1
P09486_P13671,1
P01034_P06396,1
P01594_P02649,1
P09486_P27169,1
P08493_Q14118,1
P08493_Q16270,1
P01591_Q8NBJ4,1
P01591_P04216,1
P08697_Q9NQ79,1
P08133_P41222,1
P08637_P09486,1
P01042_Q9Y6R7,1
P08637_Q6UXD5,1
P08603_Q9UBX5,1
P08637_Q13449,1
P01344_P02652,1
P01344_P13473,1
P08637_P80748,1
P01042_Q9HDC9,1
P08637_P10909,1
P08637_P11142,1
P08637_P54289,1
P01344_P04004,1
P01344_P08294,1
P08637_P39060,1
P01042_Q9UBR2,1
P01344_P36980,1
P01591_P04004,1
P08603_P35542,1
P01042_P08493,1
P01591_P01876,1
P08697_P61278,1
P08697_P49908,1
P08603_P20774,1
P08697_P36980,1
P08697_P24592,1
P08637_Q9BY67,1
P01042_Q08380,1
P01042_Q13283,1
P01042_Q14624,1
P08637_Q9UKV8,1
P08637_Q9UBR2,1
P01344_P41222,1
P01594_P07339,1
P09486_Q9Y6R7,1
P09871_P10643,1
P01031_Q96PD5,1
P01608_P17936,1
P08253_P17936,1
P10643_P13671,1
P08253_P31997,1
P10451_Q9Y646,1
P01608_P10451,1
P01608_P04406,1
P01031_P43652,1
P01033_P02655,1
P08253_Q8N2S1,1
P01608_P02774,1
P10451_P60174,1
P01033_P02765,1
P10451_P51884,1
P01031_P80748,1
P01608_P49908,1
P01034_P01780,1
P10643_Q9NYU2,1
P08133_P49588,1
P08133_P51884,1
P01031_P04196,1
P10645_P13591,1
P08133_P61278,1
P08133_P61769,1
P10643_Q99829,1
P01608_P55290,1
P01031_P07333,1
P08133_Q14515,1
P01608_Q6UXD5,1
P08133_Q9UKV8,1
P01031_P20774,1
P01031_P20933,1
P01608_P02656,1
P10451_P35542,1
P01608_P02647,1
P08294_Q14508,1
P09871_Q15904,1
P01594_P60174,1
P01033_Q08380,1
P09871_P61916,1
P09871_P61769,1
P01594_P31997,1
P01594_P23083,1
P01033_P04275,1
P09871_P43251,1
P01594_P16152,1
P01594_P09871,1
P01594_P08697,1
P01033_Q9Y6R7,1
P09871_P11142,1
P01033_P36980,1
P01033_P36222,1
P08294_P41222,1
P01033_P23142,1
P09871_Q99829,1
P08294_P23083,1
P01594_Q6UXB8,1
P08294_P16152,1
P01033_P10643,1
P01033_P09871,1
P01033_P08637,1
P01033_P08603,1
P01594_Q99829,1
P01033_P07998,1
P10451_P14618,1
P01033_P07333,1
P08294_P08637,1
P01834_P11277,1
P01009_P60174,1
P01009_P41222,1
P00747_P02768,1
P16870_Q8NE71,1
P06454_P09871,1
P01861_Q9UBR2,1
P01861_Q9NYU2,1
P06454_P11142,1
P06454_P13473,1
P06454_P13671,1
P16870_Q9NQ79,1
P00747_P04180,1
P00747_P04196,1
P16870_P80748,1
P06454_P17936,1
P16870_P61278,1
P06454_P19652,1
P16870_Q99435,1
P00747_P01019,1
P06454_P25311,1
P06396_P41222,1
P06396_P11277,1
P00746_P13473,1
P00746_P16035,1
P00746_P16152,1
P01876_P19021,1
P01876_P16870,1
P01876_P16035,1
P01876_P05546,1
P00746_P43652,1
P01876_P14314,1
P00746_P61278,1
P17174_Q13449,1
P00746_Q14118,1
P17174_P49908,1
P06454_P23083,1
P06454_P36222,1
P01860_Q99832,1
P16070_Q96PD5,1
P16152_P25311,1
P01861_P05408,1
P16152_P19021,1
P16070_Q9Y646,1
P00747_Q9NQ79,1
P01861_P02768,1
P06681_P19823,1
P16152_P30086,1
P16070_Q8N2S1,1
P00748_P01833,1
P16070_Q6UXD5,1
P16070_Q13283,1
P00748_P02750,1
P06681_P41222,1
P06681_P08294,1
P06681_P08133,1
P06454_P36955,1
P16152_Q96KN2,1
P01861_P61769,1
P00747_P09486,1
P16870_P18065,1
P01861_P43251,1
P16152_Q9NQ79,1
P16152_Q99829,1
P06454_Q6UXD5,1
P06681_P07711,1
P16152_Q6UX71,1
P16152_Q562R1,1
P00747_P43652,1
P01861_P08603,1
P16152_P43121,1
P00747_Q16270,1
P17936_P39060,1
P17936_P40925,1
P01876_Q06481,1
P00738_P19823,1
P01877_P61916,1
P06310_P07339,1
P01877_P43251,1
P06310_P08637,1
P01877_P25311,1
